dataset,angle,metric,group,n,median,iqr_low,iqr_high,mean,std,shapiro_p,test,p_value,a12,significant_alpha_0.05,time_s_ratio_bootstrap_over_normal
1,bootstrap_moeackf,hv,Normal,31,0.87207,0.870446,0.8720975,0.8717114838709678,0.001506028947729051,0.001085755880922079,wilcoxon,,,,8.297888792445933
1,bootstrap_moeackf,hv,Bootstrap,31,0.883014,0.881437,0.885367,0.8832007419354837,0.002515755856831659,0.6257243752479553,wilcoxon,9.313225746154785e-10,0.0,True,8.297888792445933
1,bootstrap_snsgaii,hv,Normal,31,0.876667,0.870205,0.8855545,0.8781209677419355,0.00902432830550791,0.4135357439517975,wilcoxon,,,,15.095201362671867
1,bootstrap_snsgaii,hv,Bootstrap,31,0.887919,0.8829475,0.8908805,0.8869709032258063,0.007615216177079679,0.3039305806159973,wilcoxon,8.656829595565796e-05,0.25806451612903225,True,15.095201362671867
2,bootstrap_moeackf,hv,Normal,31,0.925627,0.9255249999999999,0.9284545,0.927567258064516,0.003564767060811899,8.943778811953962e-05,wilcoxon,,,,4.847479309938848
2,bootstrap_moeackf,hv,Bootstrap,31,0.94013,0.9393009999999999,0.9414565,0.9403967096774193,0.001512645082706632,0.8816245794296265,wilcoxon,9.313225746154785e-10,0.0,True,4.847479309938848
2,bootstrap_snsgaii,hv,Normal,31,0.927768,0.925684,0.927799,0.9272977741935483,0.0015027269370420594,7.354799890890718e-05,wilcoxon,,,,4.94266184762982
2,bootstrap_snsgaii,hv,Bootstrap,31,0.939857,0.9390035000000001,0.9408475000000001,0.940037,0.0012624880989538002,0.04973819479346275,wilcoxon,9.313225746154785e-10,0.0,True,4.94266184762982
3,bootstrap_moeackf,hv,Normal,31,0.752015,0.7452105,0.7559625,0.7510768064516129,0.006047587631551147,0.005375797860324383,wilcoxon,,,,5.154155781585292
3,bootstrap_moeackf,hv,Bootstrap,31,0.756735,0.7551025,0.7587615000000001,0.7567684838709676,0.0031070110810978093,0.9738532900810242,wilcoxon,0.00019535142928361893,0.22580645161290322,True,5.154155781585292
3,bootstrap_snsgaii,hv,Normal,31,0.764301,0.7546955,0.7754195,0.7644783870967741,0.016020525548344575,0.7761223316192627,wilcoxon,,,,7.501733817836998
3,bootstrap_snsgaii,hv,Bootstrap,31,0.754919,0.7540074999999999,0.7567955,0.7580282258064517,0.009041262768403086,8.503574733254027e-09,wilcoxon,0.06642110086977482,0.7096774193548387,False,7.501733817836998
4,bootstrap_moeackf,hv,Normal,31,0.827372,0.8141275,0.843208,0.8224343548387096,0.030238137682456995,0.0019538707565516233,wilcoxon,,,,5.023092216244022
4,bootstrap_moeackf,hv,Bootstrap,31,0.835614,0.8156840000000001,0.842411,0.8334236129032256,0.023303426434292753,0.6279923915863037,wilcoxon,0.2240869216620922,0.4838709677419355,False,5.023092216244022
4,bootstrap_snsgaii,hv,Normal,31,0.781196,0.760051,0.8058735,0.7807528387096774,0.03742157363794026,0.14309053122997284,wilcoxon,,,,6.870452265484001
4,bootstrap_snsgaii,hv,Bootstrap,31,0.806588,0.7752675,0.8272165,0.8019528387096774,0.03151147001024312,0.4387986361980438,wilcoxon,0.01319857221096754,0.2903225806451613,True,6.870452265484001
