dataset_no,dataset_name,algo,run,sol_idx,n_sol_in_front,f1_complexity,f2_train_error,accuracy,is_sparsest,is_best_acc,n_hidden,n_live,n_dead,n_sink,n_source,dead_frac,sink_frac,source_frac,out0_indeg,out1_indeg,out0_disc,out1_disc,any_out_disc,n_out_disc,bias_only_neurons,bias_only_frac,real_reach_out0,real_reach_out1,any_out_unreachable_real,f1_check_err,csv_path
1,Statlog Australian,MOEACKF,0,0,7,0.001470588235,0.4130434783,0.5869565217,False,False,40,0,39,1,0,0.975,0.025,0.0,0,0,True,True,True,2,1,0.025,False,False,True,2.941175948623087e-13,/home/nez/Desktop/tesis-snn/platemo-cpp/results/ds1_moeackf/fronts/MOEACKF_ds1_nh40_run0_front.csv
1,Statlog Australian,MOEACKF,0,1,7,0.0,0.4275362319,0.5724637681,True,False,40,0,40,0,0,1.0,0.0,0.0,0,0,True,True,True,2,0,0.0,False,False,True,0.0,/home/nez/Desktop/tesis-snn/platemo-cpp/results/ds1_moeackf/fronts/MOEACKF_ds1_nh40_run0_front.csv
1,Statlog Australian,MOEACKF,0,2,7,0.004411764706,0.3025362319,0.6974637681,False,False,40,1,38,1,0,0.95,0.025,0.0,0,1,True,False,True,1,1,0.025,False,True,True,1.1764721141727108e-13,/home/nez/Desktop/tesis-snn/platemo-cpp/results/ds1_moeackf/fronts/MOEACKF_ds1_nh40_run0_front.csv
1,Statlog Australian,MOEACKF,0,3,7,0.002941176471,0.3043478261,0.6956521739,False,False,40,1,39,0,0,0.975,0.0,0.0,0,1,True,False,True,1,0,0.0,False,True,True,4.117648062795798e-13,/home/nez/Desktop/tesis-snn/platemo-cpp/results/ds1_moeackf/fronts/MOEACKF_ds1_nh40_run0_front.csv
1,Statlog Australian,MOEACKF,0,4,7,0.008823529412,0.1413043478,0.8586956522,False,False,40,2,36,2,0,0.9,0.05,0.0,1,1,False,False,False,0,2,0.05,False,True,True,2.3529442283454216e-13,/home/nez/Desktop/tesis-snn/platemo-cpp/results/ds1_moeackf/fronts/MOEACKF_ds1_nh40_run0_front.csv
1,Statlog Australian,MOEACKF,0,5,7,0.01029411765,0.1394927536,0.8605072464,False,True,40,2,35,3,0,0.875,0.075,0.0,1,1,False,False,False,0,1,0.025,False,True,True,2.941176815984825e-12,/home/nez/Desktop/tesis-snn/platemo-cpp/results/ds1_moeackf/fronts/MOEACKF_ds1_nh40_run0_front.csv
1,Statlog Australian,MOEACKF,0,6,7,0.005882352941,0.143115942,0.856884058,False,False,40,2,38,0,0,0.95,0.0,0.0,1,1,False,False,False,0,1,0.025,False,True,True,1.7647081712590662e-13,/home/nez/Desktop/tesis-snn/platemo-cpp/results/ds1_moeackf/fronts/MOEACKF_ds1_nh40_run0_front.csv
1,Statlog Australian,MOEACKF,1,0,6,0.001470588235,0.4184782609,0.5815217391,False,False,40,0,39,1,0,0.975,0.025,0.0,0,0,True,True,True,2,0,0.0,False,False,True,2.941175948623087e-13,/home/nez/Desktop/tesis-snn/platemo-cpp/results/ds1_moeackf/fronts/MOEACKF_ds1_nh40_run1_front.csv
1,Statlog Australian,MOEACKF,1,1,6,0.004411764706,0.3079710145,0.6920289855,False,False,40,1,38,1,0,0.95,0.025,0.0,0,1,True,False,True,1,0,0.0,False,True,True,1.1764721141727108e-13,/home/nez/Desktop/tesis-snn/platemo-cpp/results/ds1_moeackf/fronts/MOEACKF_ds1_nh40_run1_front.csv
1,Statlog Australian,MOEACKF,1,2,6,0.0,0.4257246377,0.5742753623,True,False,40,0,40,0,0,1.0,0.0,0.0,0,0,True,True,True,2,0,0.0,False,False,True,0.0,/home/nez/Desktop/tesis-snn/platemo-cpp/results/ds1_moeackf/fronts/MOEACKF_ds1_nh40_run1_front.csv
