dataset_no,dataset_name,algo,run,accuracy,any_out_disc,active_edges,useless_edges,pct_useless_conn
1,Statlog Australian,MOEACKF,0,0.860507,False,7,3,42.8571
1,Statlog Australian,MOEACKF,1,0.858696,False,5,1,20.0000
1,Statlog Australian,MOEACKF,2,0.860507,False,5,1,20.0000
1,Statlog Australian,MOEACKF,3,0.864130,False,7,3,42.8571
1,Statlog Australian,MOEACKF,4,0.858696,False,5,0,0.0000
1,Statlog Australian,MOEACKF,5,0.860507,False,6,2,33.3333
1,Statlog Australian,MOEACKF,6,0.856884,False,4,0,0.0000
1,Statlog Australian,MOEACKF,7,0.858696,False,5,1,20.0000
1,Statlog Australian,MOEACKF,8,0.860507,False,7,2,28.5714
1,Statlog Australian,MOEACKF,9,0.858696,False,4,0,0.0000
1,Statlog Australian,MOEACKF,10,0.858696,False,10,3,30.0000
1,Statlog Australian,MOEACKF,11,0.858696,False,4,0,0.0000
1,Statlog Australian,MOEACKF,12,0.860507,False,13,8,61.5385
1,Statlog Australian,MOEACKF,13,0.860507,False,13,9,69.2308
1,Statlog Australian,MOEACKF,14,0.858696,False,5,1,20.0000
1,Statlog Australian,MOEACKF,15,0.858696,False,7,3,42.8571
1,Statlog Australian,MOEACKF,16,0.860507,False,5,1,20.0000
1,Statlog Australian,MOEACKF,17,0.860507,False,6,2,33.3333
1,Statlog Australian,MOEACKF,18,0.862319,False,8,4,50.0000
1,Statlog Australian,MOEACKF,19,0.862319,False,8,4,50.0000
1,Statlog Australian,MOEACKF,20,0.860507,False,14,10,71.4286
1,Statlog Australian,MOEACKF,21,0.860507,False,11,7,63.6364
1,Statlog Australian,MOEACKF,22,0.860507,False,11,7,63.6364
1,Statlog Australian,MOEACKF,23,0.860507,False,9,5,55.5556
1,Statlog Australian,MOEACKF,24,0.864130,False,10,6,60.0000
1,Statlog Australian,MOEACKF,25,0.858696,False,6,1,16.6667
1,Statlog Australian,MOEACKF,26,0.858696,False,4,0,0.0000
1,Statlog Australian,MOEACKF,27,0.862319,False,11,7,63.6364
1,Statlog Australian,MOEACKF,28,0.858696,False,4,0,0.0000
1,Statlog Australian,MOEACKF,29,0.858696,False,6,2,33.3333
1,Statlog Australian,MOEACKF,30,0.860507,False,5,1,20.0000
1,Statlog Australian,SNSGAII,0,0.876812,False,8,0,0.0000
1,Statlog Australian,SNSGAII,1,0.853261,False,46,39,84.7826
1,Statlog Australian,SNSGAII,2,0.876812,False,24,14,58.3333
1,Statlog Australian,SNSGAII,3,0.862319,False,10,0,0.0000
1,Statlog Australian,SNSGAII,4,0.871377,False,17,8,47.0588
1,Statlog Australian,SNSGAII,5,0.858696,False,11,2,18.1818
1,Statlog Australian,SNSGAII,6,0.876812,False,34,24,70.5882
1,Statlog Australian,SNSGAII,7,0.873188,False,15,5,33.3333
1,Statlog Australian,SNSGAII,8,0.867754,False,16,4,25.0000
1,Statlog Australian,SNSGAII,9,0.865942,False,10,0,0.0000
1,Statlog Australian,SNSGAII,10,0.871377,False,6,0,0.0000
1,Statlog Australian,SNSGAII,11,0.858696,False,6,0,0.0000
1,Statlog Australian,SNSGAII,12,0.864130,False,9,0,0.0000
1,Statlog Australian,SNSGAII,13,0.864130,False,31,21,67.7419
1,Statlog Australian,SNSGAII,14,0.882246,False,39,19,48.7179
1,Statlog Australian,SNSGAII,15,0.864130,False,9,0,0.0000
1,Statlog Australian,SNSGAII,16,0.865942,False,15,0,0.0000
1,Statlog Australian,SNSGAII,17,0.882246,False,60,50,83.3333
1,Statlog Australian,SNSGAII,18,0.876812,False,23,5,21.7391
1,Statlog Australian,SNSGAII,19,0.860507,False,15,6,40.0000
1,Statlog Australian,SNSGAII,20,0.855072,False,5,0,0.0000
1,Statlog Australian,SNSGAII,21,0.878623,False,8,0,0.0000
1,Statlog Australian,SNSGAII,22,0.885870,False,8,0,0.0000
1,Statlog Australian,SNSGAII,23,0.887681,False,48,33,68.7500
1,Statlog Australian,SNSGAII,24,0.860507,False,9,0,0.0000
1,Statlog Australian,SNSGAII,25,0.858696,False,27,14,51.8519
1,Statlog Australian,SNSGAII,26,0.876812,False,42,28,66.6667
1,Statlog Australian,SNSGAII,27,0.855072,False,5,0,0.0000
1,Statlog Australian,SNSGAII,28,0.851449,False,15,6,40.0000
1,Statlog Australian,SNSGAII,29,0.871377,False,22,13,59.0909
1,Statlog Australian,SNSGAII,30,0.875000,False,14,5,35.7143
2,Climate,MOEACKF,0,0.918981,True,10,3,30.0000
2,Climate,MOEACKF,1,0.930556,True,18,11,61.1111
2,Climate,MOEACKF,2,0.918981,True,8,2,25.0000
2,Climate,MOEACKF,3,0.921296,True,6,2,33.3333
2,Climate,MOEACKF,4,0.918981,False,347,117,33.7176
2,Climate,MOEACKF,5,0.918981,True,27,12,44.4444
2,Climate,MOEACKF,6,0.921296,False,19,10,52.6316
2,Climate,MOEACKF,7,0.923611,False,92,70,76.0870
2,Climate,MOEACKF,8,0.928241,True,11,4,36.3636
2,Climate,MOEACKF,9,0.930556,True,16,9,56.2500
2,Climate,MOEACKF,10,0.918981,True,6,1,16.6667
2,Climate,MOEACKF,11,0.918981,False,468,50,10.6838
2,Climate,MOEACKF,12,0.916667,True,8,4,50.0000
2,Climate,MOEACKF,13,0.930556,False,19,10,52.6316
2,Climate,MOEACKF,14,0.918981,True,5,1,20.0000
2,Climate,MOEACKF,15,0.923611,True,12,7,58.3333
2,Climate,MOEACKF,16,0.923611,True,24,16,66.6667
2,Climate,MOEACKF,17,0.921296,False,12,5,41.6667
2,Climate,MOEACKF,18,0.921296,True,13,6,46.1538
2,Climate,MOEACKF,19,0.921296,False,56,29,51.7857
2,Climate,MOEACKF,20,0.918981,True,5,0,0.0000
2,Climate,MOEACKF,21,0.918981,False,276,128,46.3768
2,Climate,MOEACKF,22,0.918981,False,34,26,76.4706
2,Climate,MOEACKF,23,0.923611,True,27,20,74.0741
2,Climate,MOEACKF,24,0.916667,True,5,1,20.0000
2,Climate,MOEACKF,25,0.918981,False,295,111,37.6271
2,Climate,MOEACKF,26,0.918981,False,6,2,33.3333
2,Climate,MOEACKF,27,0.918981,True,6,1,16.6667
2,Climate,MOEACKF,28,0.918981,False,102,56,54.9020
2,Climate,MOEACKF,29,0.921296,True,6,1,16.6667
2,Climate,MOEACKF,30,0.921296,True,19,14,73.6842
2,Climate,SNSGAII,0,0.921296,True,3,0,0.0000
2,Climate,SNSGAII,1,0.921296,True,3,0,0.0000
2,Climate,SNSGAII,2,0.918981,True,2,0,0.0000
2,Climate,SNSGAII,3,0.923611,True,3,0,0.0000
2,Climate,SNSGAII,4,0.918981,True,2,0,0.0000
2,Climate,SNSGAII,5,0.918981,True,2,0,0.0000
2,Climate,SNSGAII,6,0.918981,True,2,0,0.0000
2,Climate,SNSGAII,7,0.918981,True,2,0,0.0000
2,Climate,SNSGAII,8,0.921296,True,3,0,0.0000
2,Climate,SNSGAII,9,0.918981,True,2,0,0.0000
2,Climate,SNSGAII,10,0.921296,True,2,0,0.0000
2,Climate,SNSGAII,11,0.918981,True,3,0,0.0000
2,Climate,SNSGAII,12,0.921296,True,3,0,0.0000
2,Climate,SNSGAII,13,0.921296,True,3,0,0.0000
2,Climate,SNSGAII,14,0.918981,True,2,0,0.0000
2,Climate,SNSGAII,15,0.923611,True,3,0,0.0000
2,Climate,SNSGAII,16,0.918981,True,3,0,0.0000
2,Climate,SNSGAII,17,0.921296,True,3,0,0.0000
2,Climate,SNSGAII,18,0.923611,True,3,0,0.0000
2,Climate,SNSGAII,19,0.921296,True,2,0,0.0000
2,Climate,SNSGAII,20,0.921296,True,2,0,0.0000
