dataset,angle,metric,group,n,median,iqr_low,iqr_high,mean,std,shapiro_p,test,p_value,a12,significant_alpha_0.05
1,convergence_speed,fe95,MOEACKF,31,1212.1212121212122,969.6969696969697,1515.151515151515,1380.254154447703,651.0023215250479,0.008569048717617989,wilcoxon,,,
1,convergence_speed,fe95,SNSGAII,31,5226.130653266332,5025.125628140703,6733.668341708543,5874.533960123197,1377.7372579605076,0.001078806584700942,wilcoxon,9.313225746154785e-10,0.0,True
1,convergence_speed_sensitivity,fe90,MOEACKF,31,727.2727272727273,606.0606060606061,1090.9090909090908,922.7761485826004,581.883345976063,5.153260190127185e-06,wilcoxon,,,
1,convergence_speed_sensitivity,fe90,SNSGAII,31,3417.0854271356784,3015.075376884422,4020.100502512563,3663.4786837412867,783.1627621213544,0.025405224412679672,wilcoxon,1.862645149230957e-09,0.03225806451612903,True
2,convergence_speed,fe95,MOEACKF,31,0.0,0.0,127.38853503184714,73.96753647010478,85.60783503595503,6.3046413742995355e-06,wilcoxon,,,
2,convergence_speed,fe95,SNSGAII,31,0.0,0.0,0.0,9.726049602852974,39.8209734896914,2.480730031118039e-11,wilcoxon,0.00047509003621023875,0.6935483870967742,True
2,convergence_speed_sensitivity,fe90,MOEACKF,31,0.0,0.0,0.0,0.0,0.0,1.0,wilcoxon,,,
2,convergence_speed_sensitivity,fe90,SNSGAII,31,0.0,0.0,0.0,0.0,0.0,1.0,wilcoxon,1.0,0.5,False
3,convergence_speed,fe95,MOEACKF,31,0.0,0.0,0.0,37.38984507373387,81.35321490132989,7.935414991777634e-09,wilcoxon,,,
3,convergence_speed,fe95,SNSGAII,31,3408.521303258145,2456.1403508771928,3909.774436090225,3250.060635459616,953.7954385538277,0.6517450213432312,wilcoxon,9.313225746154785e-10,0.0,True
3,convergence_speed_sensitivity,fe90,MOEACKF,31,0.0,0.0,0.0,0.0,0.0,1.0,wilcoxon,,,
3,convergence_speed_sensitivity,fe90,SNSGAII,31,1203.0075187969924,902.2556390977443,1503.7593984962405,1190.0719540787452,479.9077077062427,0.48431068658828735,wilcoxon,9.313225746154785e-10,0.0,True
4,convergence_speed,fe95,MOEACKF,31,13626.373626373626,10622.710622710623,18901.0989010989,14363.70081531372,5291.316177666584,0.21271982789039612,wilcoxon,,,
4,convergence_speed,fe95,SNSGAII,31,5614.035087719298,4110.275689223057,6416.040100250626,6089.417091114885,3580.2218260626964,6.059385214030044e-06,wilcoxon,9.162351489067078e-06,0.9032258064516129,True
4,convergence_speed_sensitivity,fe90,MOEACKF,31,5128.205128205128,4029.3040293040294,6739.926739926739,5260.545905707196,2587.3302956990874,0.7260119915008545,wilcoxon,,,
4,convergence_speed_sensitivity,fe90,SNSGAII,31,3208.020050125313,2406.0150375939847,4461.152882205513,3366.480717923842,1557.980791209217,0.02152019552886486,wilcoxon,0.0035971812903881073,0.7741935483870968,True
