family,dataset,angle,metric,group,n,test,p_value,p_holm,a12,significant_alpha_0.05,significant_holm,source_file
bootstrap|ds1,1,bootstrap_moeackf,hv,Bootstrap,31,wilcoxon,9.313225746154783e-10,1.8626451492309566e-09,0.0,True,True,comparison/bootstrap/summary.csv
bootstrap|ds1,1,bootstrap_snsgaii,hv,Bootstrap,31,wilcoxon,8.656829595565796e-05,8.656829595565796e-05,0.2580645161290322,True,True,comparison/bootstrap/summary.csv
bootstrap|ds2,2,bootstrap_moeackf,hv,Bootstrap,31,wilcoxon,9.313225746154783e-10,1.8626451492309566e-09,0.0,True,True,comparison/bootstrap/summary.csv
bootstrap|ds2,2,bootstrap_snsgaii,hv,Bootstrap,31,wilcoxon,9.313225746154783e-10,1.8626451492309566e-09,0.0,True,True,comparison/bootstrap/summary.csv
bootstrap|ds3,3,bootstrap_moeackf,hv,Bootstrap,31,wilcoxon,0.0001953514292836,0.0003907028585672,0.2258064516129032,True,True,comparison/bootstrap/summary.csv
bootstrap|ds3,3,bootstrap_snsgaii,hv,Bootstrap,31,wilcoxon,0.0664211008697748,0.0664211008697748,0.7096774193548387,False,False,comparison/bootstrap/summary.csv
bootstrap|ds4,4,bootstrap_moeackf,hv,Bootstrap,31,wilcoxon,0.2240869216620922,0.2240869216620922,0.4838709677419355,False,False,comparison/bootstrap/summary.csv
bootstrap|ds4,4,bootstrap_snsgaii,hv,Bootstrap,31,wilcoxon,0.0131985722109675,0.026397144421935,0.2903225806451613,True,True,comparison/bootstrap/summary.csv
plataforma|ds1|platform_moeackf,1,platform_moeackf,accuracy,ANN-MATLAB,31,mann-whitney,5.059051030746151e-12,1.5177153092238455e-11,0.0,True,True,comparison/platform/summary.csv
plataforma|ds1|platform_moeackf,1,platform_moeackf,complexity,ANN-MATLAB,31,mann-whitney,2.5844835570041737e-07,2.5844835570041737e-07,0.1196670135275754,True,True,comparison/platform/summary.csv
plataforma|ds1|platform_moeackf,1,platform_moeackf,hv,ANN-MATLAB,31,mann-whitney,1.3700836013428416e-11,2.7401672026856832e-11,0.0,True,True,comparison/platform/summary.csv
plataforma|ds1|platform_snsgaii,1,platform_snsgaii,accuracy,ANN-MATLAB,31,mann-whitney,3.1244414658064786e-11,9.373324397419435e-11,0.0114464099895941,True,True,comparison/platform/summary.csv
plataforma|ds1|platform_snsgaii,1,platform_snsgaii,complexity,ANN-MATLAB,31,mann-whitney,0.0001329185748908,0.0001329185748908,0.2206035379812695,True,True,comparison/platform/summary.csv
plataforma|ds1|platform_snsgaii,1,platform_snsgaii,hv,ANN-MATLAB,31,mann-whitney,5.888668049571935e-11,1.177733609914387e-10,0.0156087408949011,True,True,comparison/platform/summary.csv
plataforma|ds2|platform_moeackf,2,platform_moeackf,accuracy,ANN-MATLAB,31,mann-whitney,6.061512425019665e-12,1.8184537275058996e-11,0.0,True,True,comparison/platform/summary.csv
plataforma|ds2|platform_moeackf,2,platform_moeackf,complexity,ANN-MATLAB,31,mann-whitney,0.0002366288058531,0.0002366288058531,0.2278876170655567,True,True,comparison/platform/summary.csv
plataforma|ds2|platform_moeackf,2,platform_moeackf,hv,ANN-MATLAB,31,mann-whitney,1.3977368607384412e-11,2.7954737214768824e-11,0.0,True,True,comparison/platform/summary.csv
plataforma|ds2|platform_snsgaii,2,platform_snsgaii,accuracy,ANN-MATLAB,31,mann-whitney,8.200316635562848e-12,2.31605331954785e-11,0.0,True,True,comparison/platform/summary.csv
plataforma|ds2|platform_snsgaii,2,platform_snsgaii,complexity,ANN-MATLAB,31,mann-whitney,7.720177731826166e-12,2.31605331954785e-11,0.0,True,True,comparison/platform/summary.csv
plataforma|ds2|platform_snsgaii,2,platform_snsgaii,hv,ANN-MATLAB,31,mann-whitney,1.3944572348559583e-11,2.31605331954785e-11,0.0,True,True,comparison/platform/summary.csv
plataforma|ds3|platform_moeackf,3,platform_moeackf,accuracy,ANN-MATLAB,31,mann-whitney,1.201485373713548e-11,3.604456121140644e-11,0.0,True,True,comparison/platform/summary.csv
plataforma|ds3|platform_moeackf,3,platform_moeackf,complexity,ANN-MATLAB,31,mann-whitney,1.2615676946320143e-06,1.2615676946320143e-06,0.141519250780437,True,True,comparison/platform/summary.csv
plataforma|ds3|platform_moeackf,3,platform_moeackf,hv,ANN-MATLAB,31,mann-whitney,1.4010235435007648e-11,3.604456121140644e-11,0.0,True,True,comparison/platform/summary.csv
