dataset,angle,metric,group,n,median,iqr_low,iqr_high,mean,std,shapiro_p,test,p_value,a12,significant_alpha_0.05
2,platform_moeackf,hv,SNN,31,0.925627,0.9255249999999999,0.9284545,0.927567258064516,0.0035647670608118993,8.943778811953962e-05,mann-whitney,,,
2,platform_moeackf,hv,ANN-MATLAB,31,0.97673,0.9747349999999999,0.9769650000000001,0.9759983870967741,0.003360596273256873,0.0012303520925343037,mann-whitney,1.3977368607384412e-11,0.0,True
2,platform_moeackf,complexity,SNN,31,0.01904761905,0.0083333333335,0.03630952381,0.0751920122877097,0.13864187675152698,1.3011757005187974e-08,mann-whitney,,,
2,platform_moeackf,complexity,ANN-MATLAB,31,0.04869,0.03995,0.066165,0.056461612903225815,0.02550394336787603,0.00011155490938108414,mann-whitney,0.0002366288058531502,0.2278876170655567,True
2,platform_moeackf,accuracy,SNN,31,0.91898148148,0.91898148148,0.922453703705,0.9213709677425805,0.0038495526264329186,2.3042810425977223e-05,mann-whitney,,,
2,platform_moeackf,accuracy,ANN-MATLAB,31,0.97685,0.97454,0.97685,0.9759558064516128,0.0038582964930078904,0.000205272895982489,mann-whitney,6.061512425019665e-12,0.0,True
2,platform_snsgaii,hv,SNN,31,0.927768,0.925684,0.927799,0.9272977741935484,0.0015027269370420592,7.354799890890718e-05,mann-whitney,,,
2,platform_snsgaii,hv,ANN-MATLAB,31,0.94774,0.944025,0.953945,0.9492922580645161,0.006428255704143185,0.10462669283151627,mann-whitney,1.3944572348559585e-11,0.0,True
2,platform_snsgaii,complexity,SNN,31,0.003571428571,0.002380952381,0.003571428571,0.0032258064514193554,0.0007649707893257677,1.6975172911770642e-05,mann-whitney,,,
2,platform_snsgaii,complexity,ANN-MATLAB,31,0.91136,0.7315849999999999,0.9600500000000001,0.8367364516129031,0.18674475627708867,9.104029595619068e-05,mann-whitney,7.720177731826166e-12,0.0,True
2,platform_snsgaii,accuracy,SNN,31,0.9212962963,0.91898148148,0.9212962963,0.9207735961777418,0.001659543831716111,4.0867023926693946e-05,mann-whitney,,,
2,platform_snsgaii,accuracy,ANN-MATLAB,31,0.96528,0.96296,0.96991,0.9657261290322581,0.0060193392092595145,0.00975099764764309,mann-whitney,8.200316635562848e-12,0.0,True
