dataset,angle,metric,group,n,median,iqr_low,iqr_high,mean,std,shapiro_p,test,p_value,a12,significant_alpha_0.05
1,platform_moeackf,hv,SNN,31,0.87207,0.870446,0.8720975,0.8717114838709679,0.001506028947729051,0.001085755880922079,mann-whitney,,,
1,platform_moeackf,hv,ANN-MATLAB,31,0.88909,0.889065,0.890695,0.8901403225806451,0.0018085638572653399,2.0999270418542437e-05,mann-whitney,1.3700836013428417e-11,0.0,True
1,platform_moeackf,complexity,SNN,31,0.008823529412,0.007352941176,0.013970588235,0.010673624288548384,0.004394865377439994,0.0026396731846034527,mann-whitney,,,
1,platform_moeackf,complexity,ANN-MATLAB,31,0.02028,0.01404,0.039,0.03019354838709678,0.024393094316272807,3.201426352461567e-06,mann-whitney,2.5844835570041737e-07,0.11966701352757544,True
1,platform_moeackf,accuracy,SNN,31,0.8605072464,0.8586956522,0.8605072464,0.8600981767419356,0.0016675641735594403,0.0007093927124515176,mann-whitney,,,
1,platform_moeackf,accuracy,ANN-MATLAB,31,0.88043,0.88043,0.88225,0.8816600000000001,0.002061803417722767,1.3100923752062954e-05,mann-whitney,5.059051030746151e-12,0.0,True
1,platform_snsgaii,hv,SNN,31,0.876667,0.870205,0.8855545,0.8781209677419356,0.009024328305507912,0.4135357439517975,mann-whitney,,,
1,platform_snsgaii,hv,ANN-MATLAB,31,0.89717,0.8948149999999999,0.897875,0.8967406451612904,0.002549318778920975,0.476779043674469,mann-whitney,5.888668049571935e-11,0.015608740894901144,True
1,platform_snsgaii,complexity,SNN,31,0.02205882353,0.01323529412,0.0375,0.02879506641309678,0.021434882321752148,0.0004446554812602699,mann-whitney,,,
1,platform_snsgaii,complexity,ANN-MATLAB,31,0.02652,0.02652,0.125585,0.1472996774193548,0.25717100879225446,8.19423284781351e-09,mann-whitney,0.00013291857489083634,0.2206035379812695,True
1,platform_snsgaii,accuracy,SNN,31,0.8677536232,0.8605072464,0.8768115942,0.8686886395612905,0.009987027816728803,0.4026471972465515,mann-whitney,,,
1,platform_snsgaii,accuracy,ANN-MATLAB,31,0.88949,0.88768,0.890395,0.8891993548387097,0.002389592622859758,0.021207308396697044,mann-whitney,3.1244414658064786e-11,0.011446409989594173,True
2,platform_moeackf,hv,SNN,31,0.925627,0.9255249999999999,0.9284545,0.927567258064516,0.0035647670608118993,8.943778811953962e-05,mann-whitney,,,
2,platform_moeackf,hv,ANN-MATLAB,31,0.97673,0.9747349999999999,0.9769650000000001,0.9759983870967741,0.003360596273256873,0.0012303520925343037,mann-whitney,1.3977368607384412e-11,0.0,True
2,platform_moeackf,complexity,SNN,31,0.01904761905,0.0083333333335,0.03630952381,0.0751920122877097,0.13864187675152698,1.3011757005187974e-08,mann-whitney,,,
2,platform_moeackf,complexity,ANN-MATLAB,31,0.04869,0.03995,0.066165,0.056461612903225815,0.02550394336787603,0.00011155490938108414,mann-whitney,0.0002366288058531502,0.2278876170655567,True
2,platform_moeackf,accuracy,SNN,31,0.91898148148,0.91898148148,0.922453703705,0.9213709677425805,0.0038495526264329186,2.3042810425977223e-05,mann-whitney,,,
2,platform_moeackf,accuracy,ANN-MATLAB,31,0.97685,0.97454,0.97685,0.9759558064516128,0.0038582964930078904,0.000205272895982489,mann-whitney,6.061512425019665e-12,0.0,True
2,platform_snsgaii,hv,SNN,31,0.927768,0.925684,0.927799,0.9272977741935484,0.0015027269370420592,7.354799890890718e-05,mann-whitney,,,
2,platform_snsgaii,hv,ANN-MATLAB,31,0.94774,0.944025,0.953945,0.9492922580645161,0.006428255704143185,0.10462669283151627,mann-whitney,1.3944572348559585e-11,0.0,True
2,platform_snsgaii,complexity,SNN,31,0.003571428571,0.002380952381,0.003571428571,0.0032258064514193554,0.0007649707893257677,1.6975172911770642e-05,mann-whitney,,,
2,platform_snsgaii,complexity,ANN-MATLAB,31,0.91136,0.7315849999999999,0.9600500000000001,0.8367364516129031,0.18674475627708867,9.104029595619068e-05,mann-whitney,7.720177731826166e-12,0.0,True
2,platform_snsgaii,accuracy,SNN,31,0.9212962963,0.91898148148,0.9212962963,0.9207735961777418,0.001659543831716111,4.0867023926693946e-05,mann-whitney,,,
2,platform_snsgaii,accuracy,ANN-MATLAB,31,0.96528,0.96296,0.96991,0.9657261290322581,0.0060193392092595145,0.00975099764764309,mann-whitney,8.200316635562848e-12,0.0,True
3,platform_moeackf,hv,SNN,31,0.752015,0.7452105,0.7559625,0.751076806451613,0.006047587631551148,0.005375797860324383,mann-whitney,,,
3,platform_moeackf,hv,ANN-MATLAB,31,0.8098,0.8081849999999999,0.81109,0.8099516129032259,0.0024319581914912275,0.3002430200576782,mann-whitney,1.4010235435007649e-11,0.0,True
3,platform_moeackf,complexity,SNN,31,0.006481481481,0.004166666667,0.026851851849999997,0.018160095579612897,0.021574507783517563,2.672185019036988e-06,mann-whitney,,,
3,platform_moeackf,complexity,ANN-MATLAB,31,0.04131,0.03746,0.06436,0.050943225806451616,0.02214235494658699,5.420777597464621e-06,mann-whitney,1.2615676946320143e-06,0.14151925078043703,True
3,platform_moeackf,accuracy,SNN,31,0.7275,0.72,0.7318749999999999,0.7265725806451612,0.00677747296453083,0.005023229401558638,mann-whitney,,,
3,platform_moeackf,accuracy,ANN-MATLAB,31,0.7925,0.790625,0.79375,0.7926612903225807,0.002733700473638227,0.09829562902450562,mann-whitney,1.201485373713548e-11,0.0,True
3,platform_snsgaii,hv,SNN,31,0.764301,0.7546955,0.7754195,0.764478387096774,0.016020525548344572,0.7761223316192627,mann-whitney,,,
3,platform_snsgaii,hv,ANN-MATLAB,31,0.81189,0.809805,0.813185,0.8117706451612903,0.0024834746297393816,0.5170211791992188,mann-whitney,1.4018463184347286e-11,0.0,True
3,platform_snsgaii,complexity,SNN,31,0.02962962963,0.02037037037,0.046759259260000005,0.04136798088522581,0.036013152269421735,3.16867844958324e-05,mann-whitney,,,
3,platform_snsgaii,complexity,ANN-MATLAB,31,0.87512,0.35062,0.99424,0.6659225806451613,0.37441915793192476,4.750462539959699e-05,mann-whitney,6.886763329825574e-10,0.043704474505723206,True
3,platform_snsgaii,accuracy,SNN,31,0.74125,0.730625,0.75375,0.7416532258064515,0.017878021588363147,0.7736243009567261,mann-whitney,,,
3,platform_snsgaii,accuracy,ANN-MATLAB,31,0.7975,0.79625,0.800625,0.7987096774193548,0.003644114418136895,0.09415530413389206,mann-whitney,1.3264086200629316e-11,0.0,True
4,platform_moeackf,hv,SNN,31,0.827372,0.8141275,0.843208,0.8224343548387096,0.030238137682456995,0.0019538707565516233,mann-whitney,,,
4,platform_moeackf,hv,ANN-MATLAB,31,0.87403,0.865915,0.88486,0.8744348387096774,0.014142993994900264,0.5379371643066406,mann-whitney,5.885420232558006e-11,0.015608740894901144,True
4,platform_moeackf,complexity,SNN,31,0.04285714286,0.020833333335000002,0.08472222222,0.07924987199012902,0.09533792130944031,2.5843846742645837e-06,mann-whitney,,,
4,platform_moeackf,complexity,ANN-MATLAB,31,0.00967,0.00625,0.015115,0.014146451612903227,0.013132459416369069,1.4672588122266461e-06,mann-whitney,2.395162842859079e-06,0.8491155046826223,True
4,platform_moeackf,accuracy,SNN,31,0.8203592814,0.8023952096,0.8323353293,0.8124396368451614,0.03273892781740948,0.0002954493975266814,mann-whitney,,,
4,platform_moeackf,accuracy,ANN-MATLAB,31,0.86228,0.8532949999999999,0.87425,0.862855806451613,0.015793747027266537,0.48516082763671875,mann-whitney,4.926361214007299e-10,0.04058272632674298,True
4,platform_snsgaii,hv,SNN,31,0.781196,0.760051,0.8058735,0.7807528387096775,0.03742157363794026,0.14309053122997284,mann-whitney,,,
4,platform_snsgaii,hv,ANN-MATLAB,31,0.91435,0.899405,0.91584,0.9086196774193549,0.01324615352567705,0.008106423541903496,mann-whitney,1.4018463184347286e-11,0.0,True
4,platform_snsgaii,complexity,SNN,31,0.01587301587,0.0077380952385000005,0.026984126985000002,0.018766001024193547,0.014135450746422959,0.012557205744087696,mann-whitney,,,
4,platform_snsgaii,complexity,ANN-MATLAB,31,0.15034,0.02539,0.994155,0.4620777419354839,0.4705148411878891,7.493498515032115e-07,mann-whitney,5.735425411492997e-07,0.13215400624349635,True
4,platform_snsgaii,accuracy,SNN,31,0.7604790419,0.7365269461,0.7874251497,0.7597063936645161,0.04165134292865702,0.16852058470249176,mann-whitney,,,
